focal,raintype,g,s
AGCO,1,0.262,0.644045688
AGCO,2,0.262,0.644045688
AGCO,3,0.255,0.644045688
AGCO,4,0.255,0.644045688
BIPI,1,0.529,0.0078125
BIPI,2,0.529,0.0078125
BIPI,3,0.273,0.0078125
BIPI,4,0.273,0.0078125
DAAE,1,0.142,0.579871004
DAAE,2,0.142,0.579871004
DAAE,3,0.108,0.579871004
DAAE,4,0.108,0.579871004
LUHY,1,0.2885,0.887992395
LUHY,2,0.2885,0.887992395
LUHY,3,0.233,0.887992395
LUHY,4,0.233,0.887992395
OPCO,1,0.1695,0.0001
OPCO,2,0.1695,0.0001
OPCO,3,0.188,0.0001
OPCO,4,0.188,0.0001
PHAN,1,0.7195,0.969763363
PHAN,2,0.7195,0.969763363
PHAN,3,0.6265,0.969763363
PHAN,4,0.6265,0.969763363
POHY,1,0.1075,0.6801497
POHY,2,0.1075,0.6801497
POHY,3,0.0115,0.6801497
POHY,4,0.0115,0.6801497
PRCL,1,0.262,0.74257878
PRCL,2,0.262,0.74257878
PRCL,3,0.255,0.74257878
PRCL,4,0.255,0.74257878
